Title,my_label
Resilient Urban Communities: Strategies for Addressing Climate Change Challenges,11
Urban Mobility: Analyzing the Role of Cycling and Pedestrian Infrastructure in Sustainability,11
Smart Water Management Systems for Sustainable Cities,11
Renewable Energy Integration in Urban Transport Systems,11
Urban Sustainability Indicators: Measuring the Performance of Green Cities,11
Smart Transportation Solutions for Efficient Urban Logistics,11
Transforming Cities with Smart Urban Agriculture Solutions,11
Urban Sustainability and Smart Buildings: A Comprehensive Approach to Green Development,11
Designing Future Cities: A Vision for Sustainable Urbanization,11
Data Analytics for Urban Traffic Flow Optimization,11
Air Quality Monitoring Systems in Smart Cities: A Sustainable Approach,11
The Role of Green Building Certifications in Promoting Sustainable Development in Cities,11
Urban Mobility in the Age of Electric Vehicles: Trends and Challenges,11
"Building Smart, Resilient Cities: The Role of Technological Innovations",11
Smart City Governance and Policy Approaches for Sustainable Urban Development,11
Resilient and Sustainable Urban Transport Systems: Case Studies from Around the World,11
Urban Water Recycling: Sustainable Practices for Managing Water Scarcity,11
Smart City Technologies for Enhancing Public Safety and Urban Security,11
Public Engagement in Smart City Development: A Framework for Inclusive Growth,11
The Role of Digital Technologies in Promoting Urban Sustainability,11
Sustainable Cities and Climate Action: Integrating Green Solutions into Urban Policies,11
Smart Mobility Solutions for Reducing Traffic Congestion and Pollution,11
The Future of Green Cities: Technology and Urban Sustainability Solutions,11
Urban Sustainability Practices: Reducing Carbon Emissions in City Buildings,11
Analyzing the Impact of Eco-Districts on Urban Sustainability,11
Energy-Efficient Urban Planning: Combining Green Energy and Smart Technologies,11
Circular Economy in Cities: Innovative Approaches to Waste and Resource Management,11
Technological Innovations in Water Purification Systems for Urban Areas,11
The Role of Data and IoT in Making Cities More Sustainable,11
Sustainable Urban Transport Solutions for a Low-Carbon Future,11
Optimizing the production scheduling of a single machine to minimize total energy consumption costs,12
Exploring the Relationship between Sustainability Reporting and Sustainability Management Practices,12
"Integrating Technoeconomic, Environmental, and Safety Criteria in Solvent Screening for Extraction Processes: The Case of Algae Lipid Extraction",12
Designing circular supply chains for reducing waste in manufacturing industries,12
Application of lean principles in sustainable manufacturing for reducing energy consumption,12
Life cycle assessment of renewable energy systems for sustainable development,12
Optimizing waste management strategies in urban environments using machine learning,12
Techno-economic analysis of sustainable packaging solutions in the food industry,12
Energy-efficient industrial processes for reducing carbon footprint in production systems,12
Designing zero-waste production systems in industrial processes,12
Data-driven approaches to improving resource efficiency in industrial manufacturing,12
Sustainable product design: Integrating environmental impact into the product lifecycle,12
Reducing energy consumption in manufacturing through smart automation systems,12
Assessing the environmental impact of consumer products using life cycle assessment,12
Optimization of waste-to-energy systems for sustainable urban development,12
Reducing carbon emissions in the transport sector using sustainable logistics practices,12
AI-driven supply chain management for minimizing environmental impact,12
Sustainable agriculture practices for reducing resource usage and waste generation,12
Application of industrial ecology in achieving sustainability goals in manufacturing,12
Strategies for reducing food waste in retail and consumption sectors using big data,12
Sustainability performance analysis in manufacturing industries using multi-criteria decision-making,12
Designing sustainable logistics systems with minimal environmental impact,12
Reducing waste in food production systems using predictive analytics,12
Circular economy models for electronics waste management in urban areas,12
Technoeconomic optimization of renewable energy systems in industrial applications,12
Innovative recycling technologies for sustainable waste management in urban areas,12
Implementation of sustainability metrics in global supply chains to reduce environmental impact,12
Sustainable water management strategies for minimizing industrial water consumption,12
Optimizing the environmental performance of supply chains using big data analytics,12
Improvement of energy efficiency in manufacturing through industrial automation and AI,12
Designing sustainable transportation systems for reducing CO2 emissions,12
Circular economy approaches to managing plastic waste in urban environments,12
Development of sustainable practices for water conservation in industrial sectors,12
AI-based optimization of energy usage in smart buildings for sustainability,12
Evaluating the impact of sustainable manufacturing practices on product life cycles,12
Reducing e-waste in the electronics industry through design for sustainability,12
Sustainability-driven optimization of industrial production scheduling to reduce resource usage,12
Enhancing the recyclability of materials in manufacturing processes through innovation,12
Improving product sustainability through eco-design and material selection,12
Optimization of the recycling process in urban areas using machine learning algorithms,12
Technoeconomic assessment of green chemical processes for sustainable manufacturing,12
Impact of renewable energy adoption on reducing industrial carbon footprints,12
"Sustainability in construction: Materials, methods, and waste management strategies",12
Using AI to predict and reduce the environmental impact of construction projects,12
Strategies for promoting the use of renewable energy in heavy industries,12
Sustainable waste-to-resource strategies for reducing landfill waste,12
Optimization of industrial water recycling systems for minimizing environmental impact,12
Implementation of smart grids for reducing energy consumption in urban areas,12
Sustainable food production systems: Reducing resource usage through innovative technologies,12
Improving sustainability in agriculture through precision farming techniques,12
Waste reduction strategies in the food supply chain: From farm to table,12
Analysis of carbon footprint reduction strategies in the chemical industry,12
Integration of sustainability principles in supply chain management in the textile industry,12
Development of sustainable business models for circular economy implementation,12
Improving product packaging sustainability through biodegradable materials,12
Assessing the impact of digitalization on sustainable resource management,12
Designing sustainable urban infrastructures to reduce environmental impacts,12
Techno-economic evaluation of renewable energy systems in industrial applications,12
Circular supply chain practices for reducing waste in the electronics industry,12
Optimizing waste management systems in manufacturing industries through data analytics,12
Exploring the role of sustainability reporting in improving corporate environmental performance,12
AI-driven systems for sustainable management of natural resources,12
Technoeconomic analysis of sustainable construction practices in urban areas,12
Life cycle analysis of alternative fuels for sustainable transportation,12
Strategies for reducing plastic waste in global supply chains through circular economy models,12
AI-based waste management systems for improving recycling rates in urban areas,12
Sustainability performance measurement in the textile industry: A case study,12
Integrating environmental sustainability into the manufacturing process for cost reduction,12
The role of sustainable urban mobility systems in achieving SDG 12,12
Designing energy-efficient homes: Sustainable solutions for reducing energy consumption,12
Sustainability in healthcare: Reducing waste and improving resource efficiency in hospitals,12
Technoeconomic analysis of waste-to-energy conversion technologies,12
Designing zero-carbon cities through smart urban planning and renewable energy,12
Reducing the carbon footprint of supply chains using blockchain technology,12
Assessment of environmental sustainability in logistics and transportation industries,12
Optimizing recycling systems in urban areas using big data analytics,12
Circular economy strategies for reducing electronic waste in the consumer market,12
Sustainability in the automotive industry: Reducing emissions through green technologies,12
Using machine learning to optimize energy consumption in industrial sectors,12
Sustainable chemical engineering processes for reducing environmental impact,12
Impact of sustainable forestry practices on reducing deforestation and carbon emissions,12
Circular economy approaches for reducing textile waste in the fashion industry,12
Sustainable business models for reducing environmental footprint in the retail sector,12
Optimizing waste management systems in cities using AI-powered technologies,12
Technoeconomic analysis of low-carbon technologies for sustainable energy systems,12
Reducing food waste in urban areas through data-driven solutions,12
Development of sustainable product packaging solutions in the consumer goods industry,12
Assessing the sustainability of food production systems through life cycle assessment,12
Optimizing energy consumption in industrial sectors using predictive analytics,12
Designing closed-loop systems for resource recovery in urban environments,12
Exploring the role of automation in achieving sustainability goals in industries,12
Technoeconomic analysis of sustainable transportation options in urban areas,12
Using big data to optimize water usage in industrial production systems,12
Sustainability-driven design principles for reducing waste in product manufacturing,12
Circular economy strategies for improving the recyclability of packaging materials,12
Evaluating the impact of sustainable practices on supply chain performance in manufacturing,12
Energy-efficient industrial systems for reducing operational costs and environmental impact,12
Designing sustainable food packaging systems for reducing plastic waste,12
Optimization of water management systems in agriculture for reducing environmental impact,12
Sustainability in the chemical industry: Reduction of hazardous waste through process optimization,12
Technoeconomic analysis of renewable energy adoption in industrial sectors,12
Circular economy practices in the automotive industry for reducing material waste,12
The role of green chemistry in reducing environmental impacts of chemical manufacturing,12
Using renewable energy systems in industrial processes for improving sustainability,12
Optimization of recycling systems for waste management in urban areas,12
Optimizing the production scheduling of a single machine to minimize total energy consumption costs,12
Exploring the Relationship between Sustainability Reporting and Sustainability Management Practices,12
"Integrating Technoeconomic, Environmental, and Safety Criteria in Solvent Screening for Extraction Processes: The Case of Algae Lipid Extraction",12
Life Cycle Assessment of Recycled Materials for Sustainable Construction Practices,12
Circular Economy in Manufacturing: A Review of Best Practices for Resource Efficiency,12
Technoeconomic Analysis of Green Manufacturing Processes for Sustainable Production,12
Waste Reduction Strategies in Textile Industry Using Lean Manufacturing,12
Design for Sustainability: Integrating Ecodesign into Product Development,12
Sustainable Supply Chain Management in the Food Industry,12
Reducing Energy Consumption in Industrial Processes: An Optimization Approach,12
Green Logistics and Sustainable Transportation Systems for the Supply Chain,12
The Role of Eco-labeling in Promoting Sustainable Consumption and Production,12
Energy Efficiency in Production Systems: Modeling and Simulation Approaches,12
Sustainability in Food Systems: Analyzing the Environmental Impacts of Food Waste,12
Development of Eco-Friendly Packaging Materials for Reducing Environmental Footprint,12
Carbon Footprint of Consumer Products: A Comparative Study of Manufacturing Methods,12
The Impact of Circular Economy on Business Performance: A Case Study Approach,12
Sustainable Water Usage in Industrial Processes: Strategies and Technologies,12
Resource Recovery from Waste: A Review of Recycling Technologies for Sustainable Production,12
The Role of Artificial Intelligence in Sustainable Manufacturing,12
Green Chemistry Approaches for Sustainable Production in the Chemical Industry,12
Sustainable Design and Production in the Automotive Industry: Trends and Innovations,12
Technological Innovations in Sustainable Manufacturing for Small and Medium Enterprises (SMEs),12
Implementing Lean Principles for Waste Reduction in Manufacturing Industries,12
Eco-Friendly Materials for Sustainable Product Design and Manufacturing,12
The Role of Digital Twins in Optimizing Resource Use in Manufacturing Systems,12
Circular Economy Strategies in the Electronics Industry: Challenges and Opportunities,12
Life Cycle Costing and Sustainability Performance: A Comparative Analysis in the Manufacturing Sector,12
Sustainable Business Practices in the Fashion Industry: A Case Study Approach,12
Eco-Innovation and Its Role in Enhancing Sustainable Product Development,12
A Review of Sustainable Production Practices in the Agricultural Industry,12
Sustainability in the Energy Sector: Technologies for Reducing Carbon Emissions,12
Circular Economy Models in the Construction Industry: Case Studies and Solutions,12
Minimizing Environmental Impact through Sustainable Procurement in the Manufacturing Sector,12
Reducing Carbon Emissions in Industrial Plants: A Sustainable Approach,12
Design for Recycling: Strategies to Improve Product End-of-Life Management,12
Sustainable Resource Management in the Textile Industry: Strategies for Minimizing Waste,12
Integrating Green Manufacturing into the Supply Chain: A Study of Global Practices,12
Environmental Impact Assessment of Industrial Manufacturing Processes,12
"Circular Economy in the Electronics Industry: Policies, Challenges, and Innovations",12
Assessing the Feasibility of Sustainable Packaging Solutions in Consumer Goods,12
Optimizing Energy Use in Production Systems through Advanced Process Control,12
Sustainable Production Techniques in the Food Industry: A Systematic Review,12
Reducing the Environmental Footprint of Mining through Sustainable Extraction Technologies,12
Energy Recovery from Industrial Waste: A Solution for Sustainable Manufacturing,12
Sustainability Assessment of the Textile Industry: An Integrated Framework,12
Green Energy Solutions for Sustainable Manufacturing in Emerging Economies,12
Managing Waste in the Electronics Industry: Sustainable Recycling Practices,12
A Holistic Approach to Waste Management and Resource Recovery in Industrial Systems,12
Technological Innovations for Sustainable Production in the Chemical Industry,12
Strategies for Reducing Water Usage in Industrial Production Systems,12
Sustainable Packaging Materials for Reducing Plastic Waste in Consumer Products,12
The Role of Business Intelligence in Promoting Sustainable Supply Chain Management,12
Eco-Innovation in Product Design: Sustainable Solutions for Consumer Goods,12
The Impact of Environmental Regulations on Production Systems: A Comparative Study,12
Sustainable Production Practices in the Renewable Energy Sector,12
Recycling of Industrial Wastewater for Sustainable Production,12
Waste-to-Energy Technologies for Sustainable Manufacturing in Heavy Industries,12
Sustainability Practices in the Pharmaceutical Industry: A Review of Best Practices,12
The Role of Circular Economy in Reducing Carbon Emissions in Industrial Production,12
Eco-Design Strategies for Sustainable Manufacturing in the Automotive Industry,12
Environmental Sustainability and Corporate Social Responsibility in the Electronics Sector,12
Optimization of Energy Efficiency in Manufacturing Systems: Techniques and Tools,12
Sustainability Performance Measurement in Manufacturing: Approaches and Challenges,12
Adoption of Green Technologies in the Paper and Pulp Industry: A Case Study Approach,12
Reducing Industrial Water Consumption through Efficient Recycling and Treatment Systems,12
Green Manufacturing Practices in the Aerospace Industry: Challenges and Solutions,12
Sustainable Textile Waste Management: Recycling and Reuse Strategies,12
The Role of Lean Manufacturing in Achieving Sustainable Production Systems,12
Sustainable Business Models in the Fashion Industry: Key Drivers and Challenges,12
Implementing Zero-Waste Strategies in Manufacturing Systems,12
Sustainability Assessment of Renewable Energy Solutions for Industrial Use,12
Reducing the Carbon Footprint of the Food Industry through Sustainable Production Practices,12
Green Technology Adoption in the Electronics Manufacturing Industry,12
Eco-Friendly Solutions for Reducing Pollution in the Textile Industry,12
Sustainability in the Mining Industry: A Review of Waste Management Practices,12
Sustainable Industrial Systems: Energy Optimization and Waste Reduction,12
The Role of Corporate Governance in Promoting Sustainable Manufacturing Practices,12
The Future of Sustainable Supply Chains: Innovations and Trends,12
Waste Minimization in the Food Industry: Strategies and Technologies,12
Circular Economy in the Chemical Industry: Policy Framework and Implementation,12
Energy Efficiency Improvements in Manufacturing through Smart Technologies,12
Green Business Strategies for Reducing Environmental Impact in Production Systems,12
Technological Innovation for Reducing Carbon Emissions in Industrial Processes,12
Sustainable Development in the Construction Industry: Innovations and Best Practices,12
Reducing the Environmental Footprint of Logistics through Sustainable Practices,12
Life Cycle Sustainability Assessment of Building Materials: A Case Study,12
Circular Economy Practices in the Pulp and Paper Industry: Challenges and Solutions,12
Sustainability Metrics and Indicators in Industrial Production Systems,12
Reducing Food Waste in the Supply Chain: Sustainable Practices and Technologies,12
Implementing Closed-Loop Supply Chains for Sustainable Business Practices,12
Energy and Resource Efficiency in the Textile Industry: A Sustainability Assessment,12
Adoption of Green Manufacturing Technologies in Emerging Economies,12
Sustainable Strategies for Waste Management in the Automotive Industry,12
Circular Business Models for the Electronics Industry: Challenges and Solutions,12
Assessing the Role of Government Policies in Promoting Sustainable Manufacturing,12
Wastewater Treatment and Reuse for Sustainable Industrial Production,12
Natural gas decarbonization as tool for greenhouse gases emission control,13
"Discovering the patterns of energy consumption, GDP, and CO2 emissions in China using the cluster method",13
Sustainable business model for climate finance. Key drivers for the commercial banking sector,13
Optimizing renewable energy integration into national grids for climate change mitigation,13
AI-based systems for predicting the impact of climate change on energy systems,13
Techno-economic analysis of carbon capture and storage technologies for reducing emissions,13
Sustainable transportation systems for reducing carbon emissions in urban areas,13
Designing low-carbon cities using smart infrastructure and renewable energy systems,13
Assessing the role of electric vehicles in reducing urban greenhouse gas emissions,13
Energy transition pathways: Modeling the impact of renewable energy adoption on carbon emissions,13
Strategies for achieving carbon neutrality in manufacturing industries,13
Climate change adaptation in agriculture: Modeling the impact of changing weather patterns,13
Technoeconomic evaluation of renewable energy solutions for climate change mitigation,13
Using AI for optimizing energy consumption in buildings for climate change mitigation,13
Carbon footprint reduction strategies for supply chains using data-driven approaches,13
Role of sustainable business practices in mitigating climate change impacts,13
Evaluating the environmental impact of fossil fuel divestment in the financial sector,13
Techniques for assessing the carbon footprint of different manufacturing processes,13
Circular economy strategies for reducing emissions in the construction industry,13
Climate change resilience in urban infrastructure: Building with future-proof solutions,13
Global climate change forecasting: Modeling the effects of different greenhouse gas emission scenarios,13
Reducing emissions in the transportation sector through the adoption of green technologies,13
Energy efficiency measures for mitigating climate change in residential buildings,13
Integrating climate change considerations into urban planning and development,13
Climate change mitigation in coastal areas: Adaptive strategies for urban resilience,13
Evaluating the role of renewable energy adoption in decarbonizing the power sector,13
Sustainability-driven innovation for reducing emissions in the chemical industry,13
Data-driven climate change risk assessments for improving environmental policies,13
Reducing food waste as a strategy for mitigating climate change impacts,13
The role of financial markets in promoting low-carbon technologies for climate change mitigation,13
Renewable energy storage solutions for mitigating the impact of climate change,13
AI and machine learning models for predicting climate change-induced weather patterns,13
Evaluating the feasibility of green hydrogen as a low-carbon alternative for industrial applications,13
Sustainable industrial practices for reducing carbon emissions in heavy manufacturing sectors,13
Building energy-efficient infrastructure for climate change mitigation,13
Assessing the potential of sustainable agriculture practices for mitigating climate change impacts,13
Climate finance models for accelerating the transition to low-carbon economies,13
Carbon pricing and its role in driving climate change mitigation actions,13
Technoeconomic analysis of hybrid renewable energy systems for achieving climate goals,13
Modeling the impact of climate change on water resources and food security,13
Reducing carbon emissions in the energy sector: The role of carbon capture technologies,13
Designing climate-resilient infrastructure using sustainable materials,13
Sustainable urban mobility strategies for reducing transportation-related emissions,13
Strategies for decarbonizing the aviation sector: A path to sustainable air travel,13
Evaluating the role of carbon taxes in reducing greenhouse gas emissions in industries,13
Predicting the impact of climate change on biodiversity using machine learning models,13
Climate change mitigation strategies for the maritime transport sector,13
Impact of climate policies on emission reduction in emerging economies,13
Designing sustainable cities for mitigating climate change through smart technology integration,13
Sustainable water management for climate change adaptation in urban areas,13
Carbon emission reduction strategies for improving the sustainability of the construction industry,13
Using big data to track and predict greenhouse gas emissions in real time,13
Evaluating the effectiveness of climate change adaptation policies in vulnerable communities,13
Building resilience to climate change through the design of eco-friendly infrastructure,13
Impact of forest conservation on carbon sequestration and climate change mitigation,13
Optimizing renewable energy generation for reducing reliance on fossil fuels in the power sector,13
Techniques for assessing the impact of climate change on public health,13
Sustainability strategies in the food sector for reducing climate change-related emissions,13
The role of sustainable finance in achieving global climate goals,13
Implementing carbon-neutral supply chains for reducing the environmental footprint of businesses,13
Development of low-carbon technologies for sustainable energy production,13
Designing sustainable energy solutions for mitigating the effects of climate change in rural areas,13
Technoeconomic analysis of geothermal energy systems for carbon-neutral electricity generation,13
Climate change risk modeling for improving disaster resilience in coastal cities,13
Evaluating the role of digital transformation in reducing climate change impacts,13
Sustainable investment strategies for supporting climate change mitigation projects,13
Smart agriculture solutions for reducing carbon emissions and improving food security,13
Modeling the impact of climate change on water availability and agriculture production,13
Technoeconomic feasibility of carbon-neutral transportation networks in urban areas,13
Building climate resilience in agriculture through innovative farming techniques,13
AI-powered solutions for monitoring and mitigating the impacts of climate change on ecosystems,13
Role of renewable energy adoption in decarbonizing industrial heating processes,13
Using simulation models for predicting the impact of climate change on energy infrastructure,13
Sustainable practices in the textile industry for reducing climate change impacts,13
Circular economy approaches for mitigating the environmental impact of e-waste,13
Evaluating climate change risks and opportunities in the financial services industry,13
Impact of sustainable building practices on reducing carbon emissions in urban areas,13
Assessing the impact of climate change on global supply chains and logistics,13
Designing resilient agricultural systems for climate change adaptation and emission reduction,13
Carbon-neutral infrastructure design using innovative green technologies,13
Technological innovations for reducing carbon emissions in the steel industry,13
Renewable energy deployment strategies for meeting international climate change goals,13
Carbon capture and utilization technologies for mitigating industrial emissions,13
Sustainable water conservation practices for improving climate change resilience,13
Evaluation of renewable energy policies for accelerating climate change mitigation,13
Data-driven decision-making for reducing carbon emissions in large-scale industries,13
AI-based climate change modeling for predicting environmental impacts in urban areas,13
Carbon reduction strategies for the power sector: An integrated approach,13
The role of policy in promoting sustainable urban mobility solutions to combat climate change,13
Assessing the impact of climate change on energy efficiency in residential buildings,13
Sustainable management of natural resources for climate change mitigation,13
