,Unnamed: 0.1,Unnamed: 0,Title,Fecha,Abstract,Keyword,BestCategorySJR,Clean_Abstract,my_label,my_superlabel,Clean_Title
509,517,517,Lithography-based additive manufacture of ceramic biodevices with design-controlled surface topographies,2017-02-01,"The possibility of manufacturing textured materials and devices, with surface properties controlled from the design stage, instead of being the result of machining processes or chemical attacks, is a key factor for the incorporation of advanced functionalities to a wide set of micro- and nano-systems. High-precision additive manufacturing (AM) technologies based on photopolymerization, together with the use of fractal models linked to computer-aided design tools, allow for a precise definition of final surface properties. However, the polymeric master parts obtained with most commercial systems are usually inadequate for biomedical purposes and their limited strength and size prevents many potential applications. On the other hand, additive manufacturing technologies aimed at the production of final parts, normally based on layer-by-layer melting or sintering ceramic or metallic powders, do not always provide the required precision for obtaining controlled micro-structured surfaces with high-aspect-ratio details. Towards the desired degree of precision and performance, lithography-based ceramic manufacture is a remarkable option, as we discuss in the present study, which presents the development of two different micro-textured biodevices for cell culture. Results show a remarkable control of the surface topography of ceramic parts and the possibility of obtaining design-controlled micro-structured surfaces with high-aspect-ratio micro-metric details. (Summary); Univ Politecn Madrid TU Madrid, UPM Prod Dev Lab, Dept Mech Engn, C Jose Gutierrez Abascal 2, Madrid 28006, Spain. adiaz@etsii.upm.es (Author of contact); We acknowledge Lithoz GmbH for the realization of the prototypes and to the AMT TU Wien department for the support given during the study, as well as the UPM Mechanical department which provided the facilities to measure the parts. (Recognitions linked to item)",Additive manufacturing; Computer-aided design; Fractals; Lithography-based ceramic manufacture; Material texture; Materials design; Surface topography,Software,"The possibility of manufacturing textured materials and devices, with surface properties controlled from the design stage, instead of being the result of machining processes or chemical attacks, is a key factor for the incorporation of advanced functionalities to a wide set of micro- and nano-systems. High-precision additive manufacturing (AM) technologies based on photopolymerization, together with the use of fractal models linked to computer-aided design tools, allow for a precise definition of final surface properties. However, the polymeric master parts obtained with most commercial systems are usually inadequate for biomedical purposes and their limited strength and size prevents many potential applications. On the other hand, additive manufacturing technologies aimed at the production of final parts, normally based on layer-by-layer melting or sintering ceramic or metallic powders, do not always provide the required precision for obtaining controlled micro-structured surfaces with high-aspect-ratio details. Towards the desired degree of precision and performance, lithography-based ceramic manufacture is a remarkable option, as we discuss in the present study, which presents the development of two different micro-textured biodevices for cell culture. Results show a remarkable control of the surface topography of ceramic parts and the possibility of obtaining design-controlled micro-structured surfaces with high-aspect-ratio micro-metric details.",9,2,lithographybased additive manufacture of ceramic biodevices with designcontrolled surface topographies
510,519,519,Assessing soundscape: Comparison between in situ and laboratory methodologies,2017-03-01,"The assessment of soundscape implies an interdisciplinary approach, where objective and subjective aspects are considered. For the subjective evaluation, in situ and laboratory methodologies are usually followed. Local observations allow the collection of information on the influence of different stimuli present in the environment, whereas laboratory tests present a determined quantity of controlled stimuli to the evaluator. The purpose of this work is to compare results from the different methodologies in order to understand their strengths and their weaknesses. Three urban parks in the city of Lisbon, Portugal, were evaluated. Fragments of binaural sound recordings collected in the parks were used in laboratory tests to compare with the responses in situ and of expert and nonexpert listeners. Statistically significant differences were found in several of the perceptual attributes under observation, which led to variation in the results of the main model's components. The sound environments were found to be more pleasant and uneventful in situ than in the laboratory, a phenomenon possibly due to the influence of other stimuli such as visual in the process of assessment. The in situ tests allow a systemic and holistic evaluation of the environment under study, whereas the laboratory tests allow a specific and tightly targeted analysis of different component sound events. Therefore, the two methodologies can be useful in soundscape assessment depending on the specific application and needs. No differences were found in the assessment made by either experts or non-experts. (Summary); Univ Politecn Madrid, Escuela Tecn Super Ingn Ind, Dept Mech Engn, Madrid, Spain. lhermida@usbbog.edu.co; lobo.soares@ig.com.br; ignacio.pavon@upm.es; bcoelho@ist.utl.pt (Author of contact); Part of this work was financially supported by the Brazilian National Council for Scientific and Technological Development - CNPq, by the University of San Buenaventura, and by the Portuguese Foundation for Science and Technology (FCT) which are greatly acknowledged. (Recognitions linked to item)",City parks; Components; Experience; Framework; Landscape; Perception; Quality; Sound perception; Sound subjective evaluation; Soundscape; Spaces; Urban environment; Urban soundscapes,Acoustics and Ultrasonics,"The assessment of soundscape implies an interdisciplinary approach, where objective and subjective aspects are considered. For the subjective evaluation, in situ and laboratory methodologies are usually followed. Local observations allow the collection of information on the influence of different stimuli present in the environment, whereas laboratory tests present a determined quantity of controlled stimuli to the evaluator. The purpose of this work is to compare results from the different methodologies in order to understand their strengths and their weaknesses. Three urban parks in the city of Lisbon, Portugal, were evaluated. Fragments of binaural sound recordings collected in the parks were used in laboratory tests to compare with the responses in situ and of expert and nonexpert listeners. Statistically significant differences were found in several of the perceptual attributes under observation, which led to variation in the results of the main model's components. The sound environments were found to be more pleasant and uneventful in situ than in the laboratory, a phenomenon possibly due to the influence of other stimuli such as visual in the process of assessment. The in situ tests allow a systemic and holistic evaluation of the environment under study, whereas the laboratory tests allow a specific and tightly targeted analysis of different component sound events. Therefore, the two methodologies can be useful in soundscape assessment depending on the specific application and needs. No differences were found in the assessment made by either experts or non-experts.",11,1,assessing soundscape comparison between in situ and laboratory methodologies
511,520,520,A NOVEL METHOD FOR THE DESIGN OF SWITCHING SURFACES FOR DISCRETIZED MIMO NONLINEAR SYSTEMS,2017-03-01,"Designing variable structure control with sliding mode (VSC-SM) control schemes needs a switching function or a sliding surface which guarantees the global stability of the closed-loop system. Despite the fact that a wide range of design approaches has been proposed for solving this mathematical problem, the number of proposed methodologies for nonlinear systems is not very extensive, especially for discrete time nonlinear MIMO systems, and most of them require some coordinate system transformation. Therefore, it is not an easy task to find a design scheme that can be applied to discrete time nonlinear MIMO systems. The proposed methodology introduces a mathematical tool: a switching surface equation for a class of MIMO nonlinear systems through an explicit equation without any coordinate transformation. This equation makes use of an implicit linearizing process via the Taylor expansion that allows the use of linear procedures for the design of switching surfaces and the forward Euler method to obtain a discrete time dynamics representation. An illustrative example is included to show the advantages of the proposed design methodology. (Summary); Univ Politecn Madrid, CSIC, Ctr Automat & Robot, Intelligent Control Grp, Calle Jose Gutierrez Abascal 2, Madrid 28006, Spain. jd.luis@alumnos.upm.es (Author of contact); This work has been funded by the Spanish Ministry of Economy and Competitiveness (Assisted Navigation Through Natural Language (NAVEGASE) project no. DPI2014-53525-C3-1-R). (Recognitions linked to item)",Discrete sliding mode; Hyperplane; Mimo systems; Multivariable systems; Nonlinear control; Optimal control; Sliding-mode-control; Time; Uncertain systems; Variable structure control; Variable-structure control,Computer Science (Miscellaneous),"Designing variable structure control with sliding mode (VSC-SM) control schemes needs a switching function or a sliding surface which guarantees the global stability of the closed-loop system. Despite the fact that a wide range of design approaches has been proposed for solving this mathematical problem, the number of proposed methodologies for nonlinear systems is not very extensive, especially for discrete time nonlinear MIMO systems, and most of them require some coordinate system transformation. Therefore, it is not an easy task to find a design scheme that can be applied to discrete time nonlinear MIMO systems. The proposed methodology introduces a mathematical tool: a switching surface equation for a class of MIMO nonlinear systems through an explicit equation without any coordinate transformation. This equation makes use of an implicit linearizing process via the Taylor expansion that allows the use of linear procedures for the design of switching surfaces and the forward Euler method to obtain a discrete time dynamics representation. An illustrative example is included to show the advantages of the proposed design methodology.",9,2,a novel method for the design of switching surfaces for discretized mimo nonlinear systems
512,521,521,A New Method of Ground Fault Location in 2 x 25 kV Railway Power Supply Systems,2017-01-01,"Owing to the installation of autotransformers at regular intervals along the line, distance protection relays cannot be used with the aim of locating ground faults in 2 x 25 kV railway power supply systems. The reason is that the ratio between impedance and distance to the fault point is not linear in these electrification systems, unlike in 1 x 25 kV power systems. Therefore, the location of ground faults represents a complicated task in 2 x 25 kV railway power supply systems. Various methods have been used to localize the ground fault position in 2 x 25 kV systems. The method described here allows the location of a ground fault to be economically found in an accurate way in real time, using the modules of the circulating currents in different autotransformers when the ground fault occurs. This method first needs to know the subsection and the conductor (catenary or feeder) with the defect, then localizes the ground fault's position. (Summary); Univ Politecn Madrid, ETS Ingenieros Ind, Dept Elect Engn, C Jose Gutierrez Abascal 2, E-28006 Madrid, Spain. jserranoalv@hotmail.com; carlosantonio.platero@upm.es; maximo.lopez.t@gmail.com; ricardo.granizo@upm.es (Author of contact)",2 x 25 kv; Circuit; Fault location; Ground faults; Line; Protection; Railways,Electrical and Electronic Engineering,"Owing to the installation of autotransformers at regular intervals along the line, distance protection relays cannot be used with the aim of locating ground faults in 2 x 25 kV railway power supply systems. The reason is that the ratio between impedance and distance to the fault point is not linear in these electrification systems, unlike in 1 x 25 kV power systems. Therefore, the location of ground faults represents a complicated task in 2 x 25 kV railway power supply systems. Various methods have been used to localize the ground fault position in 2 x 25 kV systems. The method described here allows the location of a ground fault to be economically found in an accurate way in real time, using the modules of the circulating currents in different autotransformers when the ground fault occurs. This method first needs to know the subsection and the conductor (catenary or feeder) with the defect, then localizes the ground fault's position.",9,2,a new method of ground fault location in 2 x 25 kv railway power supply systems
513,522,522,Aerodynamics of axisymmetric counterflowing jets,2017-01-01,"The laminar flow resulting from impingement of two steadily fed low-Mach-number gaseous jets issuing into a stagnant atmosphere from coaxial cylindrical ducts at moderately large Reynolds numbers, often used in combustion experiments, is studied through numerical integrations of the Navier-Stokes equations. In the Reynolds-number range addressed, 50-1000, the flow of the approaching jets is nearly inviscid, with viscous effects and mixing being restricted to the thin mixing layers surrounding the jets and to a thin layer located at the separating stream surface. The analysis of the main inviscid flow shows that only two parameters, based on the scales associated with the radius and the velocity profiles of the two feed streams, are needed to characterize the flow, namely, the ratio of the inter-jet separation distance to the duct radius and the ratio of momentum fluxes of the jets. The numerical results for uniform and Poiseuille velocity profiles provide, in particular, the value of the strain rate at the stagnation point for use in the analysis of experimental studies of counterflow premixed and diffusion flames. (C) 2016 The Combustion Institute. Published by Elsevier Inc. All rights reserved. (Summary); Univ Calif San Diego, Dept Mech & Aerosp Engn, La Jolla, CA 92093 USA. alsp@eng.ucsd.edu (Author of contact); This work was supported by the Spanish MCINN through Projects #CSD2010-00010 and MTM2015-67030-P. FAW is supported by the US National Science Foundation through Award #CBET-1404026. (Recognitions linked to item)",Combustion; Counterflow combustor; Flames; Flows; Impingement; Impinging jets; Laminar; Regimes; Strain rate,Energy Engineering and Power Technology,"The laminar flow resulting from impingement of two steadily fed low-Mach-number gaseous jets issuing into a stagnant atmosphere from coaxial cylindrical ducts at moderately large Reynolds numbers, often used in combustion experiments, is studied through numerical integrations of the Navier-Stokes equations. In the Reynolds-number range addressed, 50-1000, the flow of the approaching jets is nearly inviscid, with viscous effects and mixing being restricted to the thin mixing layers surrounding the jets and to a thin layer located at the separating stream surface. The analysis of the main inviscid flow shows that only two parameters, based on the scales associated with the radius and the velocity profiles of the two feed streams, are needed to characterize the flow, namely, the ratio of the inter-jet separation distance to the duct radius and the ratio of momentum fluxes of the jets. The numerical results for uniform and Poiseuille velocity profiles provide, in particular, the value of the strain rate at the stagnation point for use in the analysis of experimental studies of counterflow premixed and diffusion flames.",9,2,aerodynamics of axisymmetric counterflowing jets
514,523,523,NEURAL NETWORK AND TRAINING STRATEGY DESIGN FOR TRAIN DRIVERS' VIBRATION DOSE SIMULATION,2017-01-01,"Vibration can cause professional illnesses in train drivers, giving also rise to lawsuits to the employer. A possible cause may be the lack of systematic vibration estimation processes, due to operational complexities, subjectivities involved and the cost of dedicated tests. Estimation quality may be improved by using a driver seat model along with cabin floor vibration data acquired during the train dynamic approval tests. However, due to the nonlinearities present, analytical models frequently show inaccurate results. This work deals with the design of an appropriate neural network for predicting the seat-driver interface vibration, based on selected and processed cabin floor acceleration data obtained during the dynamic approval tests. Network type, input signals set and signal conditioning have considerable impact on the simulation accuracy. Results show good correlation between simulated and experimental data, even better between simulated and measured standard vibration dose indicators, being RMS errors between 3.9 % and 9.4 % and peak factor errors between 0.8 % and 9.6 %. (Summary); Univ Politecn Madrid, Escuela Tecn Super Ingenieros Ind, C Jose Gutierrez Abascal 2, E-28006 Madrid, Spain. JMGuijosa@etsii.upm.es (Author of contact)",Acceleration; Artificial neural network; Model; Nonlinear model; Prediction; Train driver; Train engineer; Vibration dose; Whole-body vibration,Computer Science Applications,"Vibration can cause professional illnesses in train drivers, giving also rise to lawsuits to the employer. A possible cause may be the lack of systematic vibration estimation processes, due to operational complexities, subjectivities involved and the cost of dedicated tests. Estimation quality may be improved by using a driver seat model along with cabin floor vibration data acquired during the train dynamic approval tests. However, due to the nonlinearities present, analytical models frequently show inaccurate results. This work deals with the design of an appropriate neural network for predicting the seat-driver interface vibration, based on selected and processed cabin floor acceleration data obtained during the dynamic approval tests. Network type, input signals set and signal conditioning have considerable impact on the simulation accuracy. Results show good correlation between simulated and experimental data, even better between simulated and measured standard vibration dose indicators, being RMS errors between 3.9 % and 9.4 % and peak factor errors between 0.8 % and 9.6 %.",4,3,neural network and training strategy design for train drivers vibration dose simulation
515,524,524,Detection of Stationary Foreground Objects Using Multiple Nonparametric Background-Foreground Models on a Finite State Machine,2017-03-01,"There is a huge proliferation of surveillance systems that require strategies for detecting different kinds of stationary foreground objects (e.g., unattended packages or illegally parked vehicles). As these strategies must be able to detect foreground objects remaining static in crowd scenarios, regardless of how long they have not been moving, several algorithms for detecting different kinds of such foreground objects have been developed over the last decades. This paper presents an efficient and high-quality strategy to detect stationary foreground objects, which is able to detect not only completely static objects but also partially static ones. Three parallel nonparametric detectors with different absorption rates are used to detect currently moving foreground objects, short-term stationary foreground objects, and long-term stationary foreground objects. The results of the detectors are fed into a novel finite state machine that classifies the pixels among background, moving foreground objects, stationary foreground objects, occluded stationary foreground objects, and uncovered background. Results show that the proposed detection strategy is not only able to achieve high quality in several challenging situations but it also improves upon previous strategies. (Summary); Univ Politecn Madrid, Grp Tratamiento Imagenes, Informat Proc & Telecommun Ctr IPTC, E-28040 Madrid, Spain. ccr@gti.ssr.upm.es; rms@gti.ssr.upm.es; dbd@gti.ssr.upm.es; narciso@gti.ssr.upm.es (Author of contact); This work was supported by the Ministerio de Economia, Industria y Competitividad of the Spanish Government under Project TEC2013-48453 (MR-UHDTV) and Project TEC2016-75981 (IVME). The associate editor coordinating the review of this manuscript and approving it for publication was Prof. Aleksandra Pizurica. (Recognitions linked to item)",Abandoned object; Absorption; Adaptation models; Automata; Background; Background subtraction; Detectors; Finite state machine; Foreground; Frequency modulation; Nonparametric modeling; Removed object; Roads; Robust; Stationary foreground object; Vehicles,Software,"There is a huge proliferation of surveillance systems that require strategies for detecting different kinds of stationary foreground objects (e.g., unattended packages or illegally parked vehicles). As these strategies must be able to detect foreground objects remaining static in crowd scenarios, regardless of how long they have not been moving, several algorithms for detecting different kinds of such foreground objects have been developed over the last decades. This paper presents an efficient and high-quality strategy to detect stationary foreground objects, which is able to detect not only completely static objects but also partially static ones. Three parallel nonparametric detectors with different absorption rates are used to detect currently moving foreground objects, short-term stationary foreground objects, and long-term stationary foreground objects. The results of the detectors are fed into a novel finite state machine that classifies the pixels among background, moving foreground objects, stationary foreground objects, occluded stationary foreground objects, and uncovered background. Results show that the proposed detection strategy is not only able to achieve high quality in several challenging situations but it also improves upon previous strategies.",9,2,detection of stationary foreground objects using multiple nonparametric backgroundforeground models on a finite state machine
516,525,525,Nuclear data sensitivity and uncertainty analysis of effective neutron multiplication factor in various MYRRHA core configurations,2017-03-01,"A sensitivity and uncertainty analysis was carried out to estimate the uncertainty in the neutron multiplication factor k(eff) and to identify the most important nuclear data for neutron induced reactions for criticality calculations of the latest MYRRHA designs. Sensitivity profiles, i.e. sensitivity to the nuclear data as a function of incoming neutron energy, were derived for both a critical and sub-critical core. They were calculated using codes that are based on different methodologies including stochastic and deterministic calculations (i.e. SCALE, MCNP and XSUN). The neutron induced nuclear data sensitivity analysis outlined the following quantities to be of special importance for the MYRRHA reactor concept: Pu-239(n,gamma) both in resonance and fast energy region, (n,f) fast, chi and nu fast; U-238(n,n') fast, (n,gamma) resonance and fast, (n,n) resonance and fast; Pu-240 nu fast; Pu-238(n,f) both resonance and fast; Fe-56(n,gamma) both resonance and fast. Differences of less than 4% between codes were obtained for these quantities, with few exceptions ((238)pu(n,f), U-238(n,n) and Fe-56(n,gamma) reactions). Nuclear data covariance matrices of different libraries (SCALE-6, COMMARA-2 and JENDL-4.0m) were used to derive the uncertainty in k(eff) based on the calculated sensitivities. This study reveals that the largest contributions to k(eff) uncertainty result from the uncertainty in the average prompt neutron fission multiplicity of Pu-238, in the U-238 inelastic scattering cross section and Pu-239 fission cross section, using the covariances from SCALE-6, COMMARA-2 and JENDL-4.0m, respectively. (C) 2016 Elsevier Ltd. All rights reserved. (Summary); Univ Politecn Madrid, UPM, C Jose Gutierrez Abascal 2, E-28006 Madrid, Spain. pablo.romojaro@extemos.ciemat.es (Author of contact); Authors would like to express their gratitude to the European Commission for the partial financial support of the CHANDA project (FP7-Fission-2013 - 605203), where this work is framed. (Recognitions linked to item)",Ads; Covariance; Design; Lead-bismuth cooled fast reactor; Monte-carlo; Myrrha; Nuclear data; Sensitivity and uncertainty,Nuclear Energy and Engineering,"A sensitivity and uncertainty analysis was carried out to estimate the uncertainty in the neutron multiplication factor k(eff) and to identify the most important nuclear data for neutron induced reactions for criticality calculations of the latest MYRRHA designs. Sensitivity profiles, i.e. sensitivity to the nuclear data as a function of incoming neutron energy, were derived for both a critical and sub-critical core. They were calculated using codes that are based on different methodologies including stochastic and deterministic calculations (i.e. SCALE, MCNP and XSUN). The neutron induced nuclear data sensitivity analysis outlined the following quantities to be of special importance for the MYRRHA reactor concept: Pu-239(n,gamma) both in resonance and fast energy region, (n,f) fast, chi and nu fast",7,2,nuclear data sensitivity and uncertainty analysis of effective neutron multiplication factor in various myrrha core configurations
517,526,526,Information system for image classification based on frequency curve proximity,2017-03-01,"With the size digital collections are currently reaching, retrieving the best match of a document from large collections by comparing hundreds of tags is a task that involves considerable algorithm complexity, even more so if the number of tags in the collection is not fixed. For these cases, similarity search appears to be the best retrieval method, but there is a lack of techniques suited for these conditions. This work presents a combination of machine learning algorithms put together to find the most similar object of a given one in a set of preprocessed objects based only on their metadata tags. The algorithm represents objects as character frequency curves and is capable of finding relationships between objects without an apparent association. It can also be parallelized using MapReduce strategies to perform the search. This method can be applied to a wide variety of documents with metadata tags. The case-study used in this work to demonstrate the similarity search technique is that of a collection of image objects in JavaScript Object Notation (JSON) containing metadata tags. (Summary); Univ Leon, Escuela Ingn Ind & Informat, Dept Ingn Mecan Informat & Aeroespacial, Leon 24071, Spain. lidia.sanchez@unileon.es; javier.alfonso@unileon.es; toliveira@di.uminho.pt; j.ordieres@upm.es; manuel.castejon@unileon.es; pjon@di.uminho.pt (Author of contact); This work has been done in the context of the project ASASEC (Advisory System Against Sexual Exploitation of Children) (HOME/2010/ISEC/AG/043) supported by the European Union with the program Prevention and fight against crime. (Recognitions linked to item)",Association rules; Frequent itemset mining; Image classification; Information system; Metadata; Metric-spaces; Search; Similarity search,Hardware and Architecture,"With the size digital collections are currently reaching, retrieving the best match of a document from large collections by comparing hundreds of tags is a task that involves considerable algorithm complexity, even more so if the number of tags in the collection is not fixed. For these cases, similarity search appears to be the best retrieval method, but there is a lack of techniques suited for these conditions. This work presents a combination of machine learning algorithms put together to find the most similar object of a given one in a set of preprocessed objects based only on their metadata tags. The algorithm represents objects as character frequency curves and is capable of finding relationships between objects without an apparent association. It can also be parallelized using MapReduce strategies to perform the search. This method can be applied to a wide variety of documents with metadata tags. The case-study used in this work to demonstrate the similarity search technique is that of a collection of image objects in JavaScript Object Notation (JSON) containing metadata tags.",9,2,information system for image classification based on frequency curve proximity
518,527,527,Continuous Monitoring of Essential Tremor Using a Portable System Based on Smartwatch,2017-03-15,"Introduction: Essential tremor (ET) shows amplitude fluctuations throughout the day, presenting challenges in both clinical and treatment monitoring. Tremor severity is currently evaluated by validated rating scales, which only provide a timely and subjective assessment during a clinical visit. Motor sensors have shown favorable performances in quantifying tremor objectively. Methods: A new highly portable system was used to monitor tremor continuously during daily lives. It consists of a smartwatch with a triaxial accelerometer, a smartphone, and a remote server. An experiment was conducted involving eight ET patients. The average effective data collection time per patient was 26 (+/- 6.05) hours. Fahn-Tolosa-Marin Tremor Rating Scale (FTMTRS) was adopted as the gold standard to classify tremor and to validate the performance of the system. Quantitative analysis of tremor severity on different time scales is validated. Results: Significant correlations were observed between neurologists FTMTRS and patients FTMTRS auto-assessment scores (r = 0.84; p = 0.009), between the device quantitative measures and the scores from the standardized assessments of neurologists (r = 0.80; p = 0.005) and patients auto-evaluation (r = 0.97; p = 0.032), and between patients FTMTRS auto-assessment scores day-to-day (r = 0.87; p < 0.001). A graphical representation of four patients with different degrees of tremor was presented, and a representative system is proposed to summarize the tremor scoring at different time scales. Conclusion: This study demonstrates the feasibility of prolonged and continuous monitoring of tremor severity during daily activities by a highly portable non-restrictive system, a useful tool to analyze efficacy and effectiveness of treatment. (Summary); Univ Hosp Getafe, Madrid, Spain. yolanda.aladro@salud.madrid.org (Author of contact); The authors express their recognition to the Investigation Foundation of University Hospital of Getafe, Madrid and to the Universidad Politecnica de Madrid for the support they have provided. They also recognize the support provided by the Chinese Scholarship Council (CSC). (Recognitions linked to item)",accelerometer;  continuous monitoring;  essential tremor;  remote diagnosis; Accelerometer; Amplitude; Common; Continuous monitoring; Essential tremor; Frequency; Movement-disorder; Parkinsons-disease; Remote diagnosis; Smartwatch,Neurology (Clinical),"Introduction: Essential tremor (ET) shows amplitude fluctuations throughout the day, presenting challenges in both clinical and treatment monitoring. Tremor severity is currently evaluated by validated rating scales, which only provide a timely and subjective assessment during a clinical visit. Motor sensors have shown favorable performances in quantifying tremor objectively. Methods: A new highly portable system was used to monitor tremor continuously during daily lives. It consists of a smartwatch with a triaxial accelerometer, a smartphone, and a remote server. An experiment was conducted involving eight ET patients. The average effective data collection time per patient was 26 (+/- 6.05) hours. Fahn-Tolosa-Marin Tremor Rating Scale (FTMTRS) was adopted as the gold standard to classify tremor and to validate the performance of the system. Quantitative analysis of tremor severity on different time scales is validated. Results: Significant correlations were observed between neurologists FTMTRS and patients FTMTRS auto-assessment scores (r = 0.84; p = 0.009), between the device quantitative measures and the scores from the standardized assessments of neurologists (r = 0.80; p = 0.005) and patients auto-evaluation (r = 0.97; p = 0.032), and between patients FTMTRS auto-assessment scores day-to-day (r = 0.87; p < 0.001). A graphical representation of four patients with different degrees of tremor was presented, and a representative system is proposed to summarize the tremor scoring at different time scales. Conclusion: This study demonstrates the feasibility of prolonged and continuous monitoring of tremor severity during daily activities by a highly portable non-restrictive system, a useful tool to analyze efficacy and effectiveness of treatment.",3,1,continuous monitoring of essential tremor using a portable system based on smartwatch
519,528,528,Optimising the design of textured surfaces for reducing lubricated friction coefficient,2017-04-01,"Under operating conditions which are unfavourable for lubrication, such as high load and low velocity, the use of textured surfaces significantly promotes the formation of a thick lubricant film and an improvement of the friction coefficient. This paper relates to the manufacture of textures using a photolithography and chemical etching process. Different surface geometries, texturing densities and depths were designed to analyse the influence of these parameters. The friction coefficient was measured in a ball-on-disc tribometer under different lubrication regimes, and the results have been used to develop an artificial neural network with texturing optimisation potential. (C) 2016 The Authors Lubrication Science published by John Wiley & Sons Ltd. (Summary); Univ Politecn Madrid, Grp Invest Ingn Maquinas, Madrid, Spain. jechavarri@etsii.upm.es (Author of contact); This work was carried out as a part of the Research Project DPI2013-48348-C2-2-R, financed by the Spanish Ministry of Economy and Competitiveness. We would also like to thank the Lubricants Laboratory of Repsol. (Recognitions linked to item)",Art; Artificial neural network; Contacts; Friction coefficient; Performance; Photolithography; Point contact; Surface texturing; Wear,"Surfaces, Coatings and Films","Under operating conditions which are unfavourable for lubrication, such as high load and low velocity, the use of textured surfaces significantly promotes the formation of a thick lubricant film and an improvement of the friction coefficient. This paper relates to the manufacture of textures using a photolithography and chemical etching process. Different surface geometries, texturing densities and depths were designed to analyse the influence of these parameters. The friction coefficient was measured in a ball-on-disc tribometer under different lubrication regimes, and the results have been used to develop an artificial neural network with texturing optimisation potential.",9,2,optimising the design of textured surfaces for reducing lubricated friction coefficient
520,529,529,"Unexpected increase in the oxidation capacity of the urban atmosphere of Madrid, Spain",2017-04-11,"Atmospheric oxidants such as ozone (O-3), hydroxyl and nitrate radicals (OH and NO3) determine the ability of the urban atmosphere to process organic and inorganic pollutants, which have an impact on air quality, environmental health and climate. Madrid city has experienced an increase of 30-40% in ambient air O-3 levels, along with a decrease of 20-40% in NO2, from 2007 to 2014. Using air pollution observations and a high-resolution air quality model, we find a large concentration increase of up to 70% and 90% in OH and NO3, respectively, in downtown Madrid (domain-wide average increase of 10% and 32% for OH and NO3, respectively). The results also show an 11% reduction in the nitric acid concentrations, leading to a remarkable denoxification of this urban atmosphere with implications for lower PM2.5 levels and nitrogen input into ecosystems. This study suggests that projected worldwide NOx emission reductions, following air quality standards, will lead to important changes in the oxidizing capacity of the atmosphere in and around large cities. (Summary); CSIC, Inst Phys Chem Rocasolano, Dept Atmospher Chem & Climate, Madrid, Spain. a.saiz@csic.es; ccuevas@iqfr.csic.es (Author of contact); This study is developed under the scientific programme TECNAIRE-CM (innovative technologies for the assessment and improvement of urban air quality) funded by the Directorate General for Universities and Research of the Greater Madrid Region (S2013/MAE-2972). The authors also acknowledge the use of emission datasets and monitoring data from the Madrid City Council. (Recognitions linked to item)",Aerosol; Air-quality; Cmaq modeling system; Dioxide; Economic recession; Emissions; Iberian peninsula; Module; Nitrogen-oxides; Trends,Multidisciplinary,"Atmospheric oxidants such as ozone (O-3), hydroxyl and nitrate radicals (OH and NO3) determine the ability of the urban atmosphere to process organic and inorganic pollutants, which have an impact on air quality, environmental health and climate. Madrid city has experienced an increase of 30-40% in ambient air O-3 levels, along with a decrease of 20-40% in NO2, from 2007 to 2014. Using air pollution observations and a high-resolution air quality model, we find a large concentration increase of up to 70% and 90% in OH and NO3, respectively, in downtown Madrid (domain-wide average increase of 10% and 32% for OH and NO3, respectively). The results also show an 11% reduction in the nitric acid concentrations, leading to a remarkable denoxification of this urban atmosphere with implications for lower PM2.5 levels and nitrogen input into ecosystems. This study suggests that projected worldwide NOx emission reductions, following air quality standards, will lead to important changes in the oxidizing capacity of the atmosphere in and around large cities.",11,1,unexpected increase in the oxidation capacity of the urban atmosphere of madrid spain
